SmartZoneName,curb_zone_id,week,Day,bookings,Weekend_dummy,CLASS_2,Bike_Network_dummy
1000 Walnut Street (near 10 Street),"184","46",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","46",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","46",Fri,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","46",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","47",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","47",Mon,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","47",Tue,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","47",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","47",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","47",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","47",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","48",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","48",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","48",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","48",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","48",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","48",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","48",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","49",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","49",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","49",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","49",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","49",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","49",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","49",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","50",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","50",Mon,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","50",Tue,"3",0,"2",1
1000 Walnut Street (near 10 Street),"184","50",Wed,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","50",Thu,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","50",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","50",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","51",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","51",Mon,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","51",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","51",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","51",Thu,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","51",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","51",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","52",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","52",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","52",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","52",Wed,"0",0,"2",1
